id_licitacao,id_estado,id_orgao,cd_orgao,nm_orgao,nr_licitacao,ano_licitacao,cd_tipo_modalidade,permite_subcontratacao,tp_fornecimento,descricao_objeto,vl_estimado_licitacao,data_abertura,data_homologacao,data_adjudicacao,vl_homologado,tp_licitacao,assunto,tipo_licitacao,tipo_modalidade_licitacao,sigla_estado
3c46319c8f96efd07def98f11e6260aa,99,df14f9968df2992d8dae122d31dfb165,155854,INST. FED. NORTE DE MG / CAMPUS TEOFILO OTONI,000022020,2020,6,NA,NA,"Objeto: Aquisição de Impressora 3D (insumo para a produção de equipamento de proteção individual para agentes de saúde,  com a finalidade de enfrentamento da COVID-19).",4000,NA,2020-06-18,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
0ca0b2ec4d3e2390a0690b083d19fd3f,99,52cb066a54825801d44c28d976065aa9,156059,INSTITUTO FEDERAL DA BAHIA-BRUMADO,000022020,10,6,NA,NA,"Objeto: Aquisição de lâmpada para fotografia e Tecido Chroma Key Fundo Infinito Estudio, conforme condições, quantidades e exigências estabelecidas no Termo de Referência.",1299.99,2020-06-10,2020-06-19,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
b2252d1a7f61cc5875891952bdd97acd,99,f620aa1686ccb93449e90140efc4ed37,158147,"INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS",000022020,2020,6,NA,NA,"Objeto: Aquisição de insumos, para desinfecção de superfícies, objetos e do ar, por meio da radiação ultravioleta (UVC.",7406,NA,2020-06-08,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
f743ee942403f157d497e7dce8f1e9fe,99,2c095d1a14f166a7343b648e444ff390,158437,INST.FED.DO NORTE DE MG/CAMPUS MONTES CLAROS,000022020,2020,6,NA,NA,"Objeto: Aquisição de equipamentos para a produção de produtos para higienização pessoal, de ambiente e para fabricação de equipamentos de proteção individual para agentes de saúde,  com a finalidade de enfrentamento da COVID-19.",225974,NA,2020-06-02,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
322f7e7a43aad3bf4403d5549ecfe9a8,99,95ba0118ef2e57735d3d78a1a5b7d5de,160051,PARQUE REGIONAL DE MANUTENCAO/10,000022020,30,-99,NA,NA,Objeto: Pregão Eletrônico -  Eventual aquisição de peças para manutenção de veículos para o Parque Regional de Manutenção/10 e demais órgãos participantes.,125000,2020-04-30,2020-06-08,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
3c50746e111baf85bbe6e5f791b13e3c,99,4d497b31aed2ae5419bc1a2a5eb0c996,194012,COORDENACAO REGIONAL TAPAJOS/PA,000022020,12,-99,NA,NA,"Objeto: Pregão Eletrônico -  Registro de preços para eventual aquisição de combustíveis (gasolina comum, óleo diesel comum, óleo diesel S-10 e óleo 2 tempos  náutico), visando atender à necessidade de abastecimento dos veículos automotores oficiais pertencentes à Coordenação Regional do  Tapajós e Coordenações Técnicas Locais jurisdicionadas, para o exercício de 2020.",0,2020-06-12,2020-06-15,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
6185534e3b58389d6043b81144098680,99,55ff0c52ed23d79194e966ec2fd90cb9,194064,COORDENACAO REGIONAL DOURADOS/MS,000022020,2020,6,NA,NA,"Objeto: Contratação de serviço empresa especializada de transporte e/ou logística, com carga e descarga, para o transporte de 11.036 (onze mil e trinta e seis) cestas de alimentos para distribuição às comunidades indígenas atendidas por esta Coordenação Regional, visando suprir a necessidade destas comunidades enquanto perdurar o isolamento necessário à prevenção do contágio e disseminação do COVID-19.",49166.12,NA,2020-06-22,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
709a2e98fba611a46e0acb7a0f1abca1,99,425d6d0babf919a35f6ccd8d193391e9,784700,HOSPITAL NAVAL DE BELEM,000022020,2020,6,NA,NA,"Objeto: Aquisição de equipamento tomógrafo, com instalação e garantia de fabrica.",995000,NA,2020-06-24,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
02f7f36c024e19b77308c54d7b74942c,99,1e4324e6d73a1a5ef41ab034bd688fbd,153155,MATERNIDADE ESCOLA DA UFRJ,000032020,29,5,NA,NA,"Objeto: Pregão Eletrônico -  Aquisição de itens de MATERIAL PERMANENTE,  visando atender as necessidades da Maternidade Escola da Universidade Federal do Rio de Janeiro, estes matérias (Itens) são necessários para  o enfrentamento da emergência na saúde pública, causada pela pandemia COVID-19, que vem causando enormes prejuízos a saúde da população nacional e internacional. Conforme condições, quantidades e exigências estabelecida no Instrumento Convocatório.",1750200,2020-05-29,2020-06-29,NA,NA,NA,NA,NA,Pregão,BR
d871228f119f44b5491b5590e508decd,99,d71aad06709902b15884ffc3425451c9,154706,IF CATARINENSE - CAMPUS BRUSQUE,000032020,4,-99,NA,NA,"Objeto: Pregão Eletrônico -  Eventual aquisição materiais hospitalares, insumos e reagentes para enfrentamento da pandemia de COVID 19 para o IFC campus Brusque.",0,2020-06-04,2020-06-08,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
618c797bec411244bb5bc6d3e1043752,99,8d952f7675a9f0074632076a02396d89,154762,INST FED SUDESTE MG CAMPUS S. J. DEL REI,000032020,2020,6,NA,NA,Objeto: Aquisição de insumos para execução dos projetos de Extensão aprovados no Edital PROEX nº 06/2020 - SELEÇÃO DE PROJETOS DE EXTENSÃO ESTRATÉGICOS E EMERGENCIAIS PARA AÇÕES DE ENFRENTAMENTO E DIFUSÃO DE INFORMAÇÕES REFERENTES AO COVID-19,2170.1,NA,2020-06-05,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
8dfe2ec0f2921ccbca6a579473b1e561,99,df14f9968df2992d8dae122d31dfb165,155854,INST. FED. NORTE DE MG / CAMPUS TEOFILO OTONI,000032020,2020,6,NA,NA,"Objeto: Aquisição de Elástico ( insumos para a produção de equipamento de proteção individual para agentes de saúde,  com a finalidade de enfrentamento da COVID-19).",1700,NA,2020-06-22,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
23679e5df07ce3b538a36d616183002e,99,f620aa1686ccb93449e90140efc4ed37,158147,"INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS",000032020,2020,6,NA,NA,Objeto: Aquisição  de  insumos  e equipamentos  para  a  produção  de sanitizantes.,43069.06,NA,2020-06-09,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
0cfa2de0e2fac0683f9b26ad91d606d6,99,285646a743ac4ae559c7103d7da59dc4,158276,INST.FED.DO MARANHAO/CAMPUS SAO LUIS-MACARANA,000032020,2020,6,NA,NA,Objeto: AQUISIÇÃO DE EQUIPAMENTOS E INSUMOS PROJETO EMERGENCIAL DE FABRICAÇÃO DE PRODUTOS SANEANTES DOMISSANITÁRIOS EM TEMPOS  DE PANDEMIA DO COVID   19 (Abril/2020),154892,NA,2020-06-01,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
2bec41682e8e8ad320020b652acc0ebf,99,df2edb7d6f9daffe8a4a06807d040e9d,158415,INST FED SUDESTE DE MG/CAMPUS MURIAE,000032020,2020,6,NA,NA,Objeto: Aquisição de MATERIAIS DIVERSOS PARA CONFECÇÃO DE MÁSCARAS TNT.,6000,NA,2020-06-08,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
6faca13aff274d4016a15ee53a1d755c,99,1974890bb262274349fab285800a3086,194005,COORDENACAO REGIONAL ALTO PURUS,000032020,2020,6,NA,NA,"Objeto: Contratação de empresa especializada em fornecimento de gêneros alimentícios e materiais de limpeza através de Dispensa de Licitação, conforme a Lei nº 13.979, de 6 de fevereiro de 2020, Artigo 4º, em atendimento as ações da Coordenação Regional Alto Purus, de combate e enfrentamento a pandemia de COVID-19, garantindo assim maior segurança e proteção aos povos indígenas vivendo em Terras Indígenas jurisdicionadas a essa unidade descentralizada da Funai.",52932,NA,2020-06-01,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
3e589ee5ec6f56ca219af7a5cb668947,99,4c520c769b0a5b95d0198e8edd662dcf,194031,COORDENACAO REGIONAL XINGU/MT,000032020,2020,6,NA,NA,Objeto: Aquisição de gêneros alimentícios e materiais de higiene e limpeza para atender as famílias indígenas em situação de vulnerabilidade social e econômica em virtude do enfrentamento da emergência à proliferação do novo coronavírus (Covid-19).,174745.15,NA,2020-06-03,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
9f64660bef56201d9d2265a4d05415a9,99,2f26bc6799b30ebf833d4f135b5e464d,194049,FUNAI-COORDENACAO REGIONAL DO JURUA/AC,000032020,2020,6,NA,NA,"Objeto: A 'contratação das empresas especializadas no fornecimento de gêneros alimentícios, Kit Higiene, Combustível, Aluguel de Embarcação e Sacos Plásticos, atende necessidades da Divisão Técnica - DIT e da Coordenação Regional do Juruá da Funai, visando dispensa de licitação acima do Limite Legal e Emergencial com base no art. 4 da Lei 13.979/2020, tendo em vista o grande número de indígenas que esta CR atende.' (Projeto Básico SEI 2207515)",187610.2,NA,2020-06-09,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
a764814fc67fcf45c2d2ad2bf69fee83,99,4018725febf27f92917962a02612ce2b,153080,UNIVERSIDADE FEDERAL DE PERNAMBUCO,000042020,2020,7,NA,NA,"Objeto: QUANTSTUDIO 5 REAL-TIME PCR SYSTEM, 96 WELL, 0,2M (ThermoFisher), com Laptop e nobreak",490000,NA,2020-06-12,NA,NA,NA,NA,NA,Inexigibilidade de Licitação,BR
190e667b556d73eccb57f7b4851fe3c8,99,19a169619546b5d7b8913e72521dc1a5,154032,FUND.UNIV.FED.DE.CIENC.DA SAUDE DE P.ALEGRE,000042020,2020,6,NA,NA,"Objeto: Aquisição de equipamento laboratorial por solicitação da Pró - Reitoria de Pesquisa e Pós Graduação (PROPPG) desta UFCSPA para auxiliar nas ações de enfrentamento ao COVID-19, conforme condições, quantidades e exigências estabelecidas no Termo de Referência.",193000,NA,2020-06-12,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
5b3cb61d6f05994169cc81adfdc77607,99,cebd576e48ded0283a49fc517e9158ce,154783,IFAM - CAMPUS HUMAITA,000042020,2020,6,NA,NA,"Objeto: O objeto do presente projeto básico consiste em aquisição de produtos (insumos) e materiais de forma única, através de  uma pessoa jurídica, que visem atender às demandas do projeto de extensão do Instituto Federal do Amazonas-IFAM, campus  Humaitá, (relacionado ao enfrentamento de saúde pública de importância internacional decorrente do novo coronavírus,  causador da COVID-19), conforme condições, quantidades, exigências, estimativas e especificações do Projeto Básico.",48996.17,NA,2020-06-05,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
1ac0a0c2fff8b9136228a920bacf6fdf,99,df14f9968df2992d8dae122d31dfb165,155854,INST. FED. NORTE DE MG / CAMPUS TEOFILO OTONI,000042020,2020,6,NA,NA,"Objeto: Aquisição de Placas de Petg (insumos para a produção de equipamento de proteção individual para agentes de saúde,  com a finalidade de enfrentamento da COVID-19).",4900,NA,2020-06-22,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
3ec7a369b87bf309043d7f5418216b9b,99,d3c63e0e042c8368bec37833590e7245,155914,HOSPITAL UNIVERSITARIO ALCIDES CARNEIRO,000042020,6,-99,NA,NA,Objeto: Pregão Eletrônico -  Aquisição de Material de Consumo - (Medicamentos Antimicrobianos),17998.8,2020-04-06,2020-06-02,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
edee4c4afd634387279808cb396847d6,99,40c14849c2ead4c3aa72018c690e4c44,160100,COMANDO DA 3A BDA DE INFANTARIA   MOTORIZADA,000042020,20,-99,NA,NA,"Objeto: Pregão Eletrônico -  Contratação de empresas especializadas para futuras aquisições de material de Limpeza para o Comando da 3ª Brigada de Infantaria Motorizada, conforme condições, quantidades, exigências e estimativas estabelecidas neste instrumento:",35900,2020-04-20,2020-06-29,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
009088129b670000f54b75a38c8724d8,99,526e2daa83e7ff281b3235cd6806cf11,160518,BASE DE AVIACAO DE TAUBATE,000042020,10,-99,NA,NA,"Objeto: Pregão Eletrônico -  Eventual aquisição de material de limpeza, higienização e descartáveis.",8250.25,2020-02-10,2020-06-22,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
8643e57d84ebaec433bec2b3fcfd8fc9,99,018e2c534b8a3395c4ca842968ef2039,194048,COORDENACAO REGIONAL MEDIO PURUS/AM,000042020,2020,6,NA,NA,"Objeto: O objeto do presente procedimento licitatório é a contratação de empresa para prestação de serviços de manutenção e reparo de embarcações e motores, com fornecimento de materiais.",301240,NA,2020-06-04,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
a3e34ec132188bd21f6fbc43c734cd62,99,766ccd91712e32e6be29799930913e3e,257022,DISTRITO SANIT.ESP.INDIGENA - ALTO PURUS,000042020,2020,6,NA,NA,"Objeto: Aquisição de testes rápidos para identificação de SARS-COV-2, para atender as necessidades do DSEI/ARP no enfrentamento da emergência de saúde pública.",291000,NA,2020-06-17,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
b369106ef4e1dbad0df1c967b89cde95,99,7901e968f339df8c667a3c5da8f7d21b,160058,32 GRUPO DE ARTILHARIA DE CAMPANHA,000052019,12,-99,NA,NA,"Objeto: Pregão Eletrônico -  Aquisição de materiais de expediente e limpeza, materiais de Patrulha de Garantia de Lei e da Ordem, conforme condições, quantidades e exigências estabelecidas neste instrumento",9860,2020-03-12,2020-06-03,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
979ceb553bce678b01cc0ea23a216bbf,99,4018725febf27f92917962a02612ce2b,153080,UNIVERSIDADE FEDERAL DE PERNAMBUCO,000052020,2020,7,NA,NA,Objeto: O presente projeto tem como objeto a aquisição de 01 unidade de sequenciador para sequenciamento do genoma do SARS-Cov-2 para atender ações de combate ao COVID19.,559970.88,NA,2020-06-15,NA,NA,NA,NA,NA,Inexigibilidade de Licitação,BR
28c99431f71e09b5aabc5e7270545583,99,7926fd71dbe153fddf903da389e1a3da,153152,HOSPITAL UNIVERSITARIO DA UFRJ,000052020,12,-99,NA,NA,"Objeto: Pregão Eletrônico -  Aquisição de produtos para atender os serviços de Hemodinâmica, Cirurgia Vascular e Radiologia Intervencionista (Extensor infusão vascular e outros).",71280,2020-02-12,2020-06-04,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
7b963ed17d28ce6df672db10e8385b63,99,0892ba2fad0b2a3fe2c9dabd1943625f,154673,INST. FED. DO PARANA/CAMPUS CASCAVEL,000052020,2020,6,NA,NA,"Objeto: Aquisição de insumos diversos, em caráter emergencial, para fabricação de álcool em gel para o IFPR- Campus Cascavel, como medida de enfrentamento da emergência pública decorrente dovírus COVID-19 (CORONAVÌRUS).",2963.5,NA,2020-06-03,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
c50b1a63aadc1bc48552e9eb6d96665b,99,bb7e5554b7f381cae7fcc447df2184dd,155126,HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,000052020,20,-99,NA,NA,"Objeto: Pregão Eletrônico -  Aquisição de MEDICAMENTOS DIVERSOS E RADIOLÓGICOS visando atender as necessidades do Hospital Universitário Prof. Alberto Antunes-UFAL/EBSERH por um período de 12 (doze) meses, conforme especificações e demais condições estabelecidas neste Termo de Referência.",2074.8,2020-04-20,2020-06-01,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
392e55c44d0a109d327d108cc808d693,99,533b02fd1f8b88b0b13a10cb3ec514e5,158146,"INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI",000052020,2020,6,NA,NA,"Objeto: Aquisição de insumos para confecção de máscaras face shields- máscaras 3D nos vários campi do Instituto Federal do Piauí para disponibilização à rede de saúde, conforme condições e especificações constantes no Oficio Nº 61/2020.",31519.44,NA,2020-06-17,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
5d3d751cc2f95fe88f7d6d2dffefd31f,99,f620aa1686ccb93449e90140efc4ed37,158147,"INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS",000052020,2020,6,NA,NA,Objeto: Aquisição de protótipo de Pulseira vibratória para evitar toques ao rosto,4900,NA,2020-06-23,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
51b25bb2e3b6fec58495ecc7b8ba8564,99,6801761998200e46d38c98356d8cfdd4,158371,INST.FED.DO RN/CAMPUS APODI,000052020,2020,6,NA,NA,Objeto: Aquisição de materiais (consumo e permanente) para produção de itens de higiene nas dependências do Campus Apodi como forma de combater o novo coronavírus.,41977.9,NA,2020-06-10,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
2621f866287ecfef984e943ee38be262,99,0d233436d0de56730391b65993ee04ff,158591,INST. FED. DA BAHIA/CAMPUS SEABRA,000052020,2020,6,NA,NA,"Objeto: Serviço de confecção de máscaras de proteção respiratória para uso não profissional, conforme ABNT PR 1002 (sem fornecimento de insumos).",4000,NA,2020-06-25,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
a20170c42aad6e356935186371b92a4a,99,b7f78740bffadbb26461340af2466f9a,160101,23 COMPANHIA DE ENGENHARIA DE COMBATE,000052020,2020,6,NA,NA,"Objeto: Serviço de manutenção corretiva em 2 (duas) máquinas de lavar roupas, ELETROLUX, Mod. LTM16, tensão 220 V.",758,NA,2020-06-19,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
dc988c900862e374202ee61790e2a0c6,99,c10a5a4c8d2cde769ee24a262d0ee6b7,160351,HOSPITAL DE GUARNICAO DE PORTO VELHO,000052020,25,-99,NA,NA,Objeto: Pregão Eletrônico -  Serviço de manutenção preventiva e corretiva dos aparelhos de ar condicionado,210,2020-05-25,2020-06-16,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
18664ff36de50e0362f4f63be0399608,99,8d4c686dd71be1aaafdde35d3212b85d,257040,DISTRITO SANIT.ESP.INDIGENA - XAVANTE,000052020,2020,6,NA,NA,"Objeto: Aquisição de insumos, equipamentos de proteção individual e outros relacionados a prevenção de infecção pelo vírus SARS-Cov-2",312725.91,NA,2020-06-02,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
687312ff70685bcb881aca939bb02aeb,99,4018725febf27f92917962a02612ce2b,153080,UNIVERSIDADE FEDERAL DE PERNAMBUCO,000062020,2020,7,NA,NA,"Objeto: Aquisição de 01 unidade de equipamento Maxwell RSC System 48 (Código: AS8500) para desenvolvimento de pesquisa no contexto de enfrentamento ao COVID-19, pelo Núcleo de Pesquisa em Inovação Terapêutica (NUPIT).",249000,NA,2020-06-16,NA,NA,NA,NA,NA,Inexigibilidade de Licitação,BR
8377748b83c3242644d86cd9a596dba9,99,bb7e5554b7f381cae7fcc447df2184dd,155126,HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,000062020,29,-99,NA,NA,"Objeto: Pregão Eletrônico -  Registro de Preços para o fornecimento de MEDICAMENTOS ANESTÉSICOS, CONTROLADOS, OFTÁLMICOS E DIVERSOS visando atender as necessidades do Hospital Universitário Prof. Alberto Antunes-UFAL/EBSERH por um período de 12 (doze) meses.",173977.14,2020-04-29,2020-06-16,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
8c29130c3a63802265de7670b54b67da,99,f620aa1686ccb93449e90140efc4ed37,158147,"INST.FED.DE EDUC.,CIENC.E TEC.DE ALAGOAS",000062020,2020,6,NA,NA,Objeto: Aquisição de insumos e equipamentos para a produção de sanitizantes,3432.98,NA,2020-06-23,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
e094d1fd6204b6d425d23fc718015a36,99,b9e66f3a77f41bbd718e38a0e0b09d67,158370,INST.FED. DO RN/CAMPUS CAICO,000062020,2020,6,NA,NA,"Objeto: Aquisição de matéria prima para os projetos de extensão 'fabricação de sabões em barra e líquido', 'produção de capotes hospitalares' e 'protetores faciais' a serem distribuídos para as comunidades carentes da cidade de Caicó e serviços de saúde pública da região, visando auxiliá-los com insumos destinados ao enfrentamento da crise e emergência de saúde pública decorrente da pandemia do COVID-1.",15483.4,NA,2020-06-22,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
a84d48506884fbf46fd895a0c8f46367,99,dbaf92b7dda90c8555e6cd4a608fbf8b,158400,INST. FED. DO PARANA/CAMPUS JACAREZINHO,000062020,2020,6,NA,NA,"Objeto: Contratação de empresa especializada no fornecimento de folhas de acetato A3, 30 micras.",1925,NA,2020-06-02,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
9d0f1d287e982e43127f717d5c303651,99,70952711f7a29526da9f4da6f5ac2b8d,160040,PARQUE REGIONAL DE MANUTENCAO/6,000062020,28,6,NA,NA,Objeto: Aquisição de material para atender ações de enfrentamento aos efeitos da pandemia da COVID-19,6398.08,2020-05-28,2020-06-04,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
987ae35d56f00351f93d5428a268da0c,99,00fbeab13ec0b5cefb9037e0bbbacc3a,160353,6 BATALHAO DE ENGENHARIA DE CONSTRUCAO,000062020,22,-99,NA,NA,Objeto: Pregão Eletrônico -  Aquisição de grandes insumos e materiais de construção.,1358400,2020-04-22,2020-06-16,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
22b697b88e5bdae81ad68c72f9e1a0ff,99,7e8e5b0caafa55a9d44af6651672b746,194011,COORDENACAO REGIONAL BAIXO TOCANTINS/PA,000062020,2020,6,NA,NA,Objeto: Aquisição de 901 Kits de gêneros alimentícios e 901 Kits de limpeza e higienização para atender as comunidades indígenas jurisdicionadas a Coordenação Regional do Baixo Tocantins que se encontram em situação de vulnerabilidade social em virtude do isolamento nas aldeias como forma de prevenção a disseminação da pandemia convid-19 nas populações indígenas.,58096.48,NA,2020-06-12,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
66b8ecda25723faef074915c8fac34d6,99,8674a65f3055a2413cc6e796de582429,155901,HOSPITAL ESCOLA DA UFPEL,000072020,8,-99,NA,NA,Objeto: Pregão Eletrônico -  Aquisição de Material Médico Hospitalar Diverso e Álcool Gel 70%.,17850,2020-04-08,2020-06-02,NA,NA,NA,NA,NA,Pregão - Registro de Preço,BR
628fb10aae564f185ffd6a62f0dbdb3f,99,cf022fef186bf5951b4d57b68d1abcf7,158965,CAMPUS ITAPIPOCA/IFCE,000072020,2020,6,NA,NA,"Objeto: Aquisição de insumos para a produção de máscaras de proteção individual contra o vírus SARS-COV-2 (COVID 19) para distribuição gratuita, no município de Itapipoca/CE.",5860.75,NA,2020-06-08,NA,NA,NA,NA,NA,Dispensa de Licitação,BR
