id_item_contrato,ds_item,sg_unidade_medida,ds_1,ds_2,ds_3,ids_itens_contratos
5155,CARRO-MACA ADULTO COM REGULAGEM DE ALTURA,NA,CARRO-MACA,CARRO-MACA ADULTO,CARRO-MACA ADULTO COM,"{452a79f1bd22fcf8a6f40e1d761d45cc,9c042ad36c852644363c831a66e182e8}"
5166,ITEN 006 DESENCROSTANTE,NA,ITEN,ITEN 006,ITEN 006 DESENCROSTANTE,{69e93fe8303db2f06072152001f5c8d0}
5172,BACIA PARA BANHO DE PACIENTE - 40CM DIAMETRO confeccionada em aco inox. medida aproximada. bordas arredondadas. esterelizavel.,NA,BACIA,BACIA PARA,BACIA PARA BANHO,{500699e1536b3a4594e2e217ff934e95}
5173,RECIPIENTE NUTRIÇÃO ENTERAL BIOBASE 000395537,Unidade,RECIPIENTE,RECIPIENTE NUTRIÇÃO,RECIPIENTE NUTRIÇÃO ENTERAL,{778c115dacf6dd27f1e88afbdcf08164}
5174,"PERNEIRA P P/ SISTEMA DE COMPRESSAO SEQUENCIAL COXA DESCARTAVEL, CIRCUNFERENCIA DA COXA DE ATE APROXIMADAMENTE 56 CM, FIXACAO POR VELCRO, PARA SISTEMA DE COMPRESSAO SEQUENCIAL PNEUMATICA. encaixe COMPATIVEl COM EQUIPAMENTO .",NA,PERNEIRA,PERNEIRA P,PERNEIRA P P/,"{78af0e2262eb84b07883d578e6ad0a8e,764831634322d810fc069fc7c2401d55}"
5112,ARMARIO VESTIARIO ZINCADO - 4 PORTAS - COM PITAO,NA,ARMARIO,ARMARIO VESTIARIO,ARMARIO VESTIARIO ZINCADO,"{0edf325a3b534b4ec7b05c6a7249bdbb,273e11aca3cdfce9e22b40b515adfa91}"
5096,"CABO PARA LARINGOSCOPIO ADULTO DE FIBRA OTICA tamanho aproximado de 14cm de comprimento, compativel com md.",NA,CABO,CABO PARA,CABO PARA LARINGOSCOPIO,"{d2cb0f4deafb5e693d4f6322f9fb17fa,595023378a1103a5e4524a1183b2fc59}"
5141,"EQUIPO MACROGOTAS P/INFUSAO PARENTERAL EM BOMBA COM TUBO EM PVC TRANSPARENTE, FLEXIVEL E ATOXICO, MEDINDO NO MINIMO 2,3M DE COMPRIMENTO. PONTA PERFURANTE C/ PROTETOR, CAMARA GOTEJADORA FLEXIVEL COM FILTRO DE RETENCAO DE PARTICULA DE 15 MICRA. COM PINCA P/CLAMPEAMENTO DE FLUXO. CONECTOR LUER LOCK C/ PROTETOR, EMBALAGEM INDIVIDUAL, ESTERIL. ADEQUADO CONFORME RDC N? 4 /2011 - ANVISA E COM SELO DO INMETRO. AQUISICAO DE EQUIPOS COM LOCACAO DE BOMBAS DE INFUSAO",NA,EQUIPO,EQUIPO MACROGOTAS,EQUIPO MACROGOTAS P/INFUSAO,"{6a4829915e48b7eafddbf66603a07725,c6fae84d86a9d8450a05f1189351c974}"
5160,GORRO CIRURGICO MASCULINO ENTRE 20G/M? E 30G/M? DESCARTAVEL COM TIRAS PARA AJUSTE.,NA,GORRO,GORRO CIRURGICO,GORRO CIRURGICO MASCULINO,"{fde6c8742e7209a09408eaa6299fb8d6,2c14b77a3372aa4d61a238ff212ce563}"
5139,LEITORA PARA CODIGO DE BARRAS FIXA conforme descricao tecnica DT_DIV_44,NA,LEITORA,LEITORA PARA,LEITORA PARA CODIGO,"{f6ac958aa5707d341d37052d2caee3e3,cbcc392f179e20e29ac8db4c854e1a6f}"
5187,PGMT DIARIA MILITAR ALA 1.,NA,PGMT,PGMT DIARIA,PGMT DIARIA MILITAR,{08cd850cdeb35a60e0fced4d144a2ec1}
5095,SUPORTE ARTICULADO DE PAREDE PARA TV LED DE 22'' A 43'',NA,SUPORTE,SUPORTE ARTICULADO,SUPORTE ARTICULADO DE,"{c614b52cb3a07ddd2aa61c2a2c4abba1,6579447d04b56354cee93fadb4ff4bd9,f9d09dc83a4c086b02b7ff6216247563}"
5198,"BUDESONIDA 200 MCG CAPS IISENTO DO ICMS, CONFORME CONVENIO ICMS 126/02 - CONFAZ E LISTA CMED/CAP",NA,BUDESONIDA,BUDESONIDA 200,BUDESONIDA 200 MCG,{cbd88b55b8079a8a97a96ce1141ce0b9}
5199,BUDESONIDA AQUOSA NASAL 50 MCG/DOSE 6ML FR MIN 120 DOSES BUDESONIDA 50 MCG SUSPENSAO AQUOSA NASAL 6 ML QUANTIDADE MINIMA DE 120 DOSES,NA,BUDESONIDA,BUDESONIDA AQUOSA,BUDESONIDA AQUOSA NASAL,{08266d28535d5ee176084c48975ed772}
5085,COMADRE INOX BAIXA 34X25CM,NA,COMADRE,COMADRE INOX,COMADRE INOX BAIXA,"{706e91bd38399ff7ee7b77cc7a112f47,4fe779697ed20123b8d6232caf2ed98e,60b7bb489a279841f845b7f4a8559aeb}"
5157,PRIMERS E SONDAS PARA DETECCAO INFLUENZA A H1N1 SUINO POR PC PRIMERS E SONDAS PARA DETECCAO INFLUENZA A H1N1 SUINO POR PCR EM TEMPO REAL CONFORME PROTOCOLO DO CDC - TIPO INVITROGEN A11400 OU Applied 4456927 COMPRA URGENTE SURTO CORONAVIRUS,NA,PRIMERS,PRIMERS E,PRIMERS E SONDAS,"{f27984b03df28012120d983188ebc0eb,ede3136533661c14808aa54649fafbdf,e0fc88e359abd2bbe00e9c4b5a09ba4e}"
5215,OXIDO NITROSO PUREZA MINIMA 99% (FASE LIQUIDA),NA,OXIDO,OXIDO NITROSO,OXIDO NITROSO PUREZA,{337f65969e2444340bb9c950db840541}
5216,OXIDO NITRICO MISTURADO EM NITROGENIO MISTURA DE 495 PPM A 500 PPM DE OXIDO NITRICO EM NITROGENIO. ACOMPANHAR O CERTIFICADO DE ANALISE DA MISTURA CONTIDA NO CILINDRO DEVERA SER FORNECIDO 05 CILINDROS EM COMODATO.,NA,OXIDO,OXIDO NITRICO,OXIDO NITRICO MISTURADO,{74d4e4a4d7f8f8d1d76f2ec0693265c0}
5150,FRASCO PLASTICO OPACO BRANCO DE 100 ML C/TAMPA ROSCA E BATOQUE GOTEJADOR,NA,FRASCO,FRASCO PLASTICO,FRASCO PLASTICO OPACO,"{882922f8a4b4c064cca1ba467d5ce655,0e41ae57890ee2c0156126fd0f37de54}"
5217,"POSICIONADOR PARA CABECA, TIPO FERRADURA, EM POLIMERO VISCOELASTICO OU GEL , COM APROXIMADAMENTE 200 X 75 X 45MM (D EXT, D INT,ALT). ACABAMENTO EM SOLDA CONTINUA. LAVAVEL. , SUPERFICIE LISA .TAM ADOLESCENTE.",NA,POSICIONADOR,POSICIONADOR PARA,"POSICIONADOR PARA CABECA,","{d2eb57774e1fa0c118a21ee7bd80bed3,ab9ac12617f8ab2a5ac845072bf249f9,f68e434fa39212e783ee52e9c8c7083e,6c55d1b79f41c7cfe0c34dd45d17652e}"
5218,"AR SINTETICO PUREZA MINIMA 99,9% OXIGENIO 20% (+OU- 1% EM VOLUME) H20 5PPM MAXIMO",NA,AR,AR SINTETICO,AR SINTETICO PUREZA,{fdc1e6e254375e6704b167b791b45d88}
5219,MANGUEIRA KANAFLEX,NA,MANGUEIRA,MANGUEIRA KANAFLEX,MANGUEIRA KANAFLEX ,{c53a9b8c0b9905f5ea6b3a7cd49f63ed}
5222,CORDA DUPLA TRANÇADA NÚMERO 6 COM ALMA DE POLIESTER PRETO,NA,CORDA,CORDA DUPLA,CORDA DUPLA TRANÇADA,{97c71097e6cf308bd387d943aa64c80d}
5224,33 - ABECOVID. BRASILEIROS DESVALIDOS. CORONAVÍRUS. ALUGUEL DE ÔNIBUS.,NA,33,33 -,33 - ABECOVID.,{771bc6b222f5cca10d3fea3f788a797f}
5227,FRASCO MACPET 000449678,Unidade,FRASCO,FRASCO MACPET,FRASCO MACPET 000449678,{57813eb377f585093574375494d4c9fa}
5230,SENSOR NQA 000445882,Unidade,SENSOR,SENSOR NQA,SENSOR NQA 000445882,{3deda0784b0d2154e9b6a1d429bb97b1}
5233,NOBREAK INTERATIVO GL POWER 3 KVA 120/120 -0.8,NA,NOBREAK,NOBREAK INTERATIVO,NOBREAK INTERATIVO GL,{1a265571f43ea00276281852b185b6a2}
5246,MACACAO DUPONT PROSHIELD NB 12DUPONT - UNIDADE - TAMANHO G,NA,MACACAO,MACACAO DUPONT,MACACAO DUPONT PROSHIELD,"{097cb5a296485dc65d231c61a82017bc,1116a9e230ab65f50abb1255ea734f9a}"
5072,TESTE PARA COMPROMETIMENTO DO LIMITE - VERBA MEDIDA PROVISORIA 924 ENFRENTAMENTO DO CORONAVIRUS - COVID-19,NA,TESTE,TESTE PARA,TESTE PARA COMPROMETIMENTO,"{70d9f1aa687d2cf5426ec4b162625ebe,38f3ff6eb636a1d559d0b35b2b734244,0262d24e2a8a9ce2a7234c8706454f7a}"
5254,CIRCUITO DUPLO AUTOCLAVAVEL PARA VENTILADOR PULMONAR - UNIDADE,NA,CIRCUITO,CIRCUITO DUPLO,CIRCUITO DUPLO AUTOCLAVAVEL,{22aca69ea4f870b3355341c24d4db908}
5256,MOTOBOMBA DIESEL TD70,NA,MOTOBOMBA,MOTOBOMBA DIESEL,MOTOBOMBA DIESEL TD70,{cfcbc26e1900a23fba1c3d7901d125cf}
5205,MOTOBOMBA TD100,NA,MOTOBOMBA,MOTOBOMBA TD100,MOTOBOMBA TD100 ,"{5da4f74e7b4c86431f4320c85b8baa60,fd9ed78cc6e87bd9cbf2f95346ab121a}"
5259,INSTAL / MANUT VIDRO COMUM - PORTA / JANELA COLOCACAO DE PELICULA DE CONTROLE SOLAR E PRIVACIDADE MODELO REFLEXA SEMI-REFLETIVO DARK BRONZE 15%,NA,INSTAL,INSTAL /,INSTAL / MANUT,{260736010fa81d785aae581e44cb6721}
5260,33ABECOVID. AJUDA A BRASILEIROS DESVALIDOS. ALUGUEL DE ÔNIBUS.,NA,33ABECOVID.,33ABECOVID. AJUDA,33ABECOVID. AJUDA A,{e49c9319f1388fcd783780f7f6254752}
5263,MACACÃO BCO 000451619,Unidade,MACACÃO,MACACÃO BCO,MACACÃO BCO 000451619,{f891e866d4305a6bdab44d818b4d5011}
5279,TUBO CO2 100W,NA,TUBO,TUBO CO2,TUBO CO2 100W,"{e4af5a038e2e148c02a5dc32fb2ef685,3b3feea00f8944f46311f8e49448fa5f}"
5284,AMIDO MATUTO 000459080,"Embalagem 1,00 KG",AMIDO,AMIDO MATUTO,AMIDO MATUTO 000459080,{6ec2036122bbcdd792233b97a57eaf0e}
5292,AVENTAL VESTSAUDE 000401217,"PACOTE 10,00 UN",AVENTAL,AVENTAL VESTSAUDE,AVENTAL VESTSAUDE 000401217,{2722c396f7588d24ec52578d4a43fde7}
5296,AVENTAL DESCARPACK 000348931,"Pacote 10,00 UN",AVENTAL,AVENTAL DESCARPACK,AVENTAL DESCARPACK 000348931,{135b4efe95fe1cce745531c6188fd695}
5298,MÁSCARA DESCARPACK 000302866,Unidade,MÁSCARA,MÁSCARA DESCARPACK,MÁSCARA DESCARPACK 000302866,{8cd03bacbaf2e78ae09cec012794944d}
5301,LINHA AMOSTRA GASES GlobalTec 000318488,"Embalagem 5,00 UN",LINHA,LINHA AMOSTRA,LINHA AMOSTRA GASES,{f1fdcc39f893d99bafcd05ff3f48f5e0}
5302,FILTRO GVS 000282867,UNIDADE,FILTRO,FILTRO GVS,FILTRO GVS 000282867,{462ba654e48d1e73a8274c9bc650737f}
5229,INSTRUMENTO DE ENSAIO EQUIPAMENTO DE COMUNICACAO                              Unidades de teste rápido para COVID-19 - Método Iminocromatografia            MARCA: MEDTEST  ITEM DO PROCESSO: 00001  ITEM DE MATERIAL: 00002480 MEDTEST 000024805,Unidade,INSTRUMENTO,INSTRUMENTO DE,INSTRUMENTO DE ENSAIO,"{d78d743944113d88b66613dd407e08e5,8e0f6bda2772b327363a8bbf838e430a,64d6f704504a894e01ac9fab324df886}"
5307,CEFUROXIMA 750 MG FRA,NA,CEFUROXIMA,CEFUROXIMA 750,CEFUROXIMA 750 MG,{234e591d215caf18464f65ac01027a62}
5149,CIRCUITO RESPIRATORIO PEDIATRICO DESCARTAVEL PARA USO EM VM compativel com respiradores servo i.,NA,CIRCUITO,CIRCUITO RESPIRATORIO,CIRCUITO RESPIRATORIO PEDIATRICO,"{9921fefdbeee7ada26011f28322c9a46,98a27690e9fae9a57aaf0742e0733fa1,05b871b8718fb3d391fe61195af0df64,e14fbc7c8607cf2fd344691d90ccf3b9,7ebb00333de053277bbac41a7d865d7c,687463e9d0c964bc863651712cb665bc}"
5313,"SONDA TAQMAN QUENCHER QSY 20,000 PMOLES REF 4482778 APPLIED (FAM, VIC, ABY, JUN). PURIFICACAO HPLC, REND 3200 / 6400 REACOES. APPLIED BIOSYSTEMS",NA,SONDA,SONDA TAQMAN,SONDA TAQMAN QUENCHER,{9255998127eaa793e484dc3918c8015d}
5315,"PRIMER DE DETECCAO DE SEQUENCIA 80,000 PMOL REF 4304971 APPLIED BIOSYSTEMS",NA,PRIMER,PRIMER DE,PRIMER DE DETECCAO,{fb395cbaeb123c6de020256330b6f688}
5319,"PINCA HEISS CURVA - 20 CM COMPRIMENTO medida aproximada. CONFECCIONADO EM ACO INOXIDAVEL, REPROCESSAVEL CONFORME NORMA ABNT NBR 13911:2013 PINCA HEISS CURVA 20 CM",NA,PINCA,PINCA HEISS,PINCA HEISS CURVA,{d7926077f5a8e73e3628408dff510647}
5318,"MICRO PINCA DELICADA ADSON SEM DENTE - 12CM COMPRIMENTO AREA DE TRABALHO MEDINDO 1MM, COM BASE E EXTREMIDADE DELICADA DE 1,0 MM. CONFECCIONADO EM ACO INOXIDAVEL, REPROCESSAVEL CONFORME NORMA ABNT NBR 13911:2013 MICRO PINCA ADSON SEM DENTE",NA,MICRO,MICRO PINCA,MICRO PINCA DELICADA,"{0f418cbad9c33da873e90d168c396d6c,9fd9a90dc6878fc5cb7c0eeb19db0290}"
5320,"AFASTADOR WEITLANER 14CM - PONTA 4X3 - PONTA ROMBA ABERTURA DE 50MM. CONFECCIONADO EM ACO INOXIDAVEL, REPROCESSAVEL CONFORME NORMA ABNT NBR 13911:2013 AFASTADOR WEITLANER 14 CM, PONTA 4 X 3",NA,AFASTADOR,AFASTADOR WEITLANER,AFASTADOR WEITLANER 14CM,"{f30887721eaf3ff38b8cfd4196b47195,bef663cd8c2ffdec2d0c42054b6dc232}"
5321,"TESOURA MAYO-STILLE RETA - 14 CM COMPRIMENTO medida aproximada. CONFECCIONADO EM ACO INOXIDAVEL, REPROCESSAVEL CONFORME NORMA ABNT NBR 13911:2013 TESOURA MAYO STILLE RETA 14 CM",NA,TESOURA,TESOURA MAYO-STILLE,TESOURA MAYO-STILLE RETA,"{37b81cb793786993a3e31269c56b3e57,0e1315d2a51db79b020e562c53807d21}"
5325,"AFASTADOR VOLKMANN - 2 DENTES ROMBO - 21,5CM COMPRIMENTO MEDIDA APROXIMADA. CONFECCIONADO EM ACO INOXIDAVEL, REPROCESSAVEL CONFORME NORMA ABNT NBR 13911:2013 AFASTADOR VOLKMANN 2 DENTES ROMBO 21,5 CM C",NA,AFASTADOR,AFASTADOR VOLKMANN,AFASTADOR VOLKMANN -,"{63b5a022f2b972ba8fe4c53310ae40d8,beb104ca353c1cf189be69e486f4082a}"
5083,"CUBA RIM EM ACO INOX - CAPACIDADE APROXIMADA DE 700 ML dimensoes aproximadas: Comprimento de 26cm, 04cm de profundidade e ate 12 cm de diametro. CONFECCIONADO EM ACO INOXIDAVEL, REPROCESSAVEL CONFORME NORMA ABNT NBR 13911:2013",NA,CUBA,CUBA RIM,CUBA RIM EM,"{7c6b9ef09f548784b4cc1790f4ba348e,e1302fb58d19b78f85157922cf900297,4ad786cc0139864ba5ef1c49600752bb,29b7a48f6a7376fd6257ef8341b23d14}"
5329,"CUBA INOX REDONDA 9CM DE DIAMETRO X 6CM DE ALTURA medidas aproximadas. CONFECCIONADO EM ACO INOXIDAVEL, REPROCESSAVEL CONFORME NORMA ABNT NBR 13911:2013 CUBA INOX REDONDA 9CM D X 6CM ALTURA",NA,CUBA,CUBA INOX,CUBA INOX REDONDA,"{ac7cbbc0ff4ef5b5380bef75517d9587,18584aba6dd19f7673c10c57e851c16b}"
5331,"DILATADOR DE TRAQUEIA LABORDE - 14 CM DE COMPRIMENTO medida aproximada. CONFECCIONADO EM ACO INOXIDAVEL, REPROCESSAVEL CONFORME NORMA ABNT NBR 13911:2013 DILATADOR DE TRAQUEIA LABORDE 14 CM",NA,DILATADOR,DILATADOR DE,DILATADOR DE TRAQUEIA,"{c9783b77ec9b2ec980aa3362a5c2390f,7788f604599ca971a4d00ac6bd0b2c24}"
5327,"PINCA ROCHESTER PEAN RETA - 22 CM COMPRIMENTO MEDIDAS APROXIMADAS CONFECCIONADO EM ACO INOXIDAVEL, REPROCESSAVEL CONFORME NORMA ABNT NBR 13911:2013",NA,PINCA,PINCA ROCHESTER,PINCA ROCHESTER PEAN,"{e81120959601e7a0334c9a6159de8a77,79f95f26a6a8fa823b521f29a5f80c83,219b3e31b0c6724f61b5520147048ac7,015cd77c93364efc245366376ecdf255}"
5330,"PINCA CRILE CURVA - 16 CM COMPRIMENTO Pontas curvas e totalmente serrilhadas. MEDIDA APROXIMADA CONFECCIONADO EM ACO INOXIDADEL, REPROCESSAVEL CONFORME NORMA ABNT NBR 13911:2013 PINCA CRILE CURVA 16 CM",NA,PINCA,PINCA CRILE,PINCA CRILE CURVA,"{a438e46afa2ebe65f01d285c04c99247,5c9e97fa0fd13b488962e6d7afc801ed,37f80717a743d7ec13a93a52503bea55,408f68f5f21fb495aae68898736d2cbb,78ec977680d9f5e9861fc7bd7bc56f7a}"
5332,"PINCA FOESTER RETA - 18 CM COMPRIMENTO pontas retas formando aneis distais serrilhados. medidas aproximadas CONFECCIONADO EM ACO INOXIDAVEL, REPROCESSAVEL CONFORME NORMA ABNT NBR 13911:2013",NA,PINCA,PINCA FOESTER,PINCA FOESTER RETA,"{5b0e084d7a3da17dba13ed7ccaabf25f,5b0a47a2f0954be06b3fcaa4ef528ee9}"
5336,GALHETEIRO                                                                    GALHETEIRO   suporte em aço inox com recipientes emvidro transparente com 4(quatro) peças. E tampas em aço inox UNY GIFT 000028738,Unidade,GALHETEIRO,GALHETEIRO ,GALHETEIRO  ,{b10c62d8c462182eb1c48debd9c5324a}
5348,PLAFON COM SOQUETE LOUÇA,NA,PLAFON,PLAFON COM,PLAFON COM SOQUETE,{5913c5d57deb0163aef2ccae09b06f24}
5350,"TUBO FERRO RETANGULAR TP METALON 20X30 MM ESPESSURA PAREDE 1,5 MM, BARRA C/6 METROS",NA,TUBO,TUBO FERRO,TUBO FERRO RETANGULAR,{80cf2f58a5e48f952854a6035cc312ae}
5353,SUCO KIPOLPA 000259679,Quilograma,SUCO,SUCO KIPOLPA,SUCO KIPOLPA 000259679,{d5cfb2ad8ed8ddd63f1f850146ad6d2e}
5358,CONDIMENTO* kodilar/kitano ou si 000233,Quilograma,CONDIMENTO*,CONDIMENTO* kodilar/kitano,CONDIMENTO* kodilar/kitano ou,{0f4ccb83b44b8ef47c93e6faf0d09155}
