CD_ORGAO,NOME_ORGAO,SIGLA_ORGAO,ESFERA,SETOR_GOVERNAMENTAL,CNPJ,HOME_PAGE,NATUREZA_JURIDICA,CONTABILIDADE,SITUACAO_ORGAO,CD_MUNICIPIO_TCERS,NOME_MUNICIPIO,CD_MUNICIPIO_IBGE
5700,FUND. ORQUESTRA SINFÔNICA DE PORTO ALEGRE,FOSPA,ESTADUAL,FUNDAÇÃO,92954874000104,www.ospa.org.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
5800,FUND. ESTADUAL DO BEM ESTAR DO MENOR,FEBEM,ESTADUAL,FUNDAÇÃO,92956077000158,www.febem.rs.gov.br,PRIVADA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
5900,FUND. GAÚCHA DO TRABALHO E AÇÃO SOCIAL,FGTAS,ESTADUAL,FUNDAÇÃO,94392164000155,www.fgtas.rs.gov.br,PRIVADA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
6000,FUND. SUL-RIOGRANDENSE DE ASSISTÊNCIA SENADOR TARSO DUTRA,FUNDASUL,ESTADUAL,FUNDAÇÃO,91018291000109,,PRIVADA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
6100,FUND. ZOOBOTÂNICA DO RIO GRANDE DO SUL,FZB,ESTADUAL,FUNDAÇÃO,87912929000175,www.fzb.rs.gov.br,PRIVADA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
6200,FUND. INSTITUTO GAÚCHO DE TRADIÇÃO E FOLCLORE,FIGTF,ESTADUAL,FUNDAÇÃO,88001482000145,www.igtf.rs.gov.br,PUBLICA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
6300,FUND. DE PESQUISA AGROPECUÁRIA,FPA,ESTADUAL,FUNDAÇÃO,,,PUBLICA,,4-EXTINTO,149,PORTO ALEGRE,4314902
6400,FUND. ESTADUAL DE PLANEJAMENTO METROPOLITANO E REGIONAL,METROPLAN,ESTADUAL,FUNDAÇÃO,88008057000188,www.metroplan.rs.gov.br,PRIVADA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
6500,FUND. CULTURAL PIRATINI - RÁDIO E TELEVISÃO,FCRTVE,ESTADUAL,FUNDAÇÃO,87809992000180,www.tve.com.br,PRIVADA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
6600,FUND. TEATRO SÃO PEDRO,FTSP,ESTADUAL,FUNDAÇÃO,87810107000183,www.teatrosaopedro.com.br,PRIVADA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
6700,FUND. ESTADUAL DE PROTEÇÃO AMBIENTAL HENRIQUE LUIZ ROESSLER,FEPAM,ESTADUAL,FUNDAÇÃO,93859817000109,www.fepam.rs.gov.br,PRIVADA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
6800,FUND. ESTADUAL DE PRODUÇÃO E PESQUISA EM SAÚDE,FEPPS,ESTADUAL,FUNDAÇÃO,689359000118,www.fepps.rs.gov.br,PUBLICA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
6900,AGÊNCIA EST. DE REGULAÇÃO DOS SERV. PÚBL. DELEG. DO RGS,AGERGS,ESTADUAL,AUTARQUIA,1962045000100,www.agergs.rs.gov.br,PUBLICA,4320/64,1-ATIVO,149,PORTO ALEGRE,4314902
7100,BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,BANRISUL,ESTADUAL,SOCIEDADE ANÔNIMA,92702067000196,www.banrisul.com.br,PRIVADA,6404/76,1-ATIVO,149,PORTO ALEGRE,4314902
7102,BANRISUL PROCESSAMENTO DE DADOS LTDA.,,ESTADUAL,SOCIEDADE LIMITADA,92934215000106,,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
7105,BANRISUL S.A. CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO,BCVMC,ESTADUAL,SOCIEDADE ANÔNIMA,93026847000126,www.banrisulcorretora.com.br,PRIVADA,6404/76,1-ATIVO,149,PORTO ALEGRE,4314902
7106,BANRISUL S.A. ARRENDAMENTO MERCANTIL,BARM,ESTADUAL,SOCIEDADE ANÔNIMA,92692979000124,,PRIVADA,6404/76,4-EXTINTO,76,ESTEIO,4307708
7108,ARMAZÉNS GERAIS E ENTREPOSTOS ADUANEIROS,AGEUSA,ESTADUAL,SOCIEDADE ANÔNIMA,,,PRIVADA,6404/76,4-EXTINTO,224,URUGUAIANA,4322400
7200,BANCO DE DESENVOLVIMENTO DO ESTADO DO RS,BADESUL,ESTADUAL,SOCIEDADE ANÔNIMA,87993432000129,,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
7300,CENTRAL VITIVINÍCOLA DO SUL S.A.,VINOSUL,ESTADUAL,SOCIEDADE ANÔNIMA,87829172000150,,PRIVADA,6404/76,4-EXTINTO,50,CAXIAS DO SUL,4305108
7400,CENTRAIS DE ABASTECIMENTO DO RIO GRANDE DO SUL S.A.,CEASA,ESTADUAL,SOCIEDADE ANÔNIMA,92983147000167,www.ceasa.rs.com.br,PRIVADA,6404/76,1-ATIVO,149,PORTO ALEGRE,4314902
7500,AÇUCAR GAÚCHO S.A.,AGASA,ESTADUAL,SOCIEDADE ANÔNIMA,96298450000181,,PRIVADA,6404/76,4-EXTINTO,176,SANTO ANTÔNIO DA PATRULHA,4317608
7600,CIA. DE DESENVOLVIMENTO INDUSTRIAL E COMERCIAL,CEDIC,ESTADUAL,SOCIEDADE ANÔNIMA,87143319000154,,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
7700,CIA. RIOGRANDENSE DE LATICÍNIOS E CORRELATOS,CORLAC,ESTADUAL,SOCIEDADE ANÔNIMA,92820000000156,,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
7800,DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,DIVERGS,ESTADUAL,SOCIEDADE ANÔNIMA,0,,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
7900,PRODUTOS GAÚCHOS S.A.,PROGASA,ESTADUAL,SOCIEDADE ANÔNIMA,92692698000171,,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
8000,CIA. ESTADUAL DE ENERGIA ELÉTRICA,CEEE,ESTADUAL,SOCIEDADE ANÔNIMA,92715812000131,www.ceee.com.br,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
8100,CIA. RIOGRANDENSE DE TELECOMUNICAÇÕES,CRT,ESTADUAL,SOCIEDADE ANÔNIMA,92794486000103,,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
8200,CIA. RIOGRANDENSE DE MINERAÇÃO,CRM,ESTADUAL,SOCIEDADE ANÔNIMA,92724145000153,www.crm.rs.gov.br,PRIVADA,6404/76,1-ATIVO,149,PORTO ALEGRE,4314902
8300,CIA. INTERMUNICIPAL DE ESTRADAS ALIMENTADORAS,CINTEA,ESTADUAL,SOCIEDADE ANÔNIMA,92929587000136,,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
8400,CIA. ESTADUAL DE SILOS E ARMAZÉNS,CESA,ESTADUAL,SOCIEDADE ANÔNIMA,92952043000195,www.cesa.rs.gov.br,PRIVADA,6404/76,1-ATIVO,149,PORTO ALEGRE,4314902
8500,CIA. DE HABITAÇÃO DO ESTADO DO RS,COHAB,ESTADUAL,SOCIEDADE ANÔNIMA,92797547000188,,PUBLICA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
8600,CIA. DE GÁS DO ESTADO DO RIO GRANDE DO SUL,SULGAS,ESTADUAL,SOCIEDADE ANÔNIMA,72300122000104,www.sulgas.rs.gov.br,PRIVADA,6404/76,1-ATIVO,149,PORTO ALEGRE,4314902
8700,CIA. RIOGRANDENSE DE SANEAMENTO,CORSAN,ESTADUAL,SOCIEDADE ANÔNIMA,92802784000190,www.corsan.com.br,PRIVADA,6404/76,1-ATIVO,149,PORTO ALEGRE,4314902
8800,CIA. RIOGRANDENSE DE ARTES GRÁFICAS,CORAG,ESTADUAL,SOCIEDADE ANÔNIMA,87161501000138,www.corag.com.br,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
8900,CIA. DE PROCESSAMENTO DE DADOS DO RS,PROCERGS,ESTADUAL,SOCIEDADE ANÔNIMA,87124582000104,www.procergs.rs.gov.br,PRIVADA,6404/76,1-ATIVO,149,PORTO ALEGRE,4314902
9000,CIA. RIOGRANDENSE DE TURISMO,CRTUR,ESTADUAL,SOCIEDADE ANÔNIMA,87044350000138,,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
9100,ASSOCIAÇÃO RIOGR. DE EMPREEND. DE ASSIST. TÉC. E EXT. RURAL,EMATER,ESTADUAL,ASSOCIAÇÃO,89161475000173,www.emater.tche.br,PRIVADA,6404/76,1-ATIVO,149,PORTO ALEGRE,4314902
9200,BANRISUL ARMAZÉNS GERAIS S.A.,BAGERGS,ESTADUAL,SOCIEDADE ANÔNIMA,92721232000157,www.bagergs.com.br,PRIVADA,6404/76,1-ATIVO,45,CANOAS,4304606
9300,CIA. UNIÃO DE SEGUROS GERAIS,CIA UNIAO,ESTADUAL,SOCIEDADE ANÔNIMA,92682038000100,,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
9400,CIA. DE INDÚSTRIAS ELETROQUÍMICAS,CIEL,ESTADUAL,SOCIEDADE ANÔNIMA,92673995000170,www.corsan.com.br/empresa/ciel.htm,PRIVADA,6404/76,4-EXTINTO,76,ESTEIO,4307708
9500,CIA. ESTADUAL DE DESENVOLVIMENTO REGIONAL E OBRAS,CEDRO,ESTADUAL,SOCIEDADE ANÔNIMA,87142030000110,,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
9600,FESTA NACIONAL DA UVA TURISMO E EMPREENDIMENTOS S/A.,FESTUVA,MUNICIPAL,SOCIEDADE ANÔNIMA,88581608000106,www.festanacionaldauva.com.br,PRIVADA,6404/76,1-ATIVO,50,CAXIAS DO SUL,4305108
9700,CIA. ADMINISTRADORA DA ZPE DO RIO GRANDE,ZOPERG-RS,ESTADUAL,SOCIEDADE ANÔNIMA,86768546000102,,PUBLICA,6404/76,4-EXTINTO,156,RIO GRANDE,4315602
9900,CAIXA ESTADUAL S.A. - AGÊNCIA DE DESENVOLVIMENTO,,ESTADUAL,SOCIEDADE ANÔNIMA,2885855000172,,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
10000,CIA. DE GERAÇÃO TÉRMICA DE ENERGIA ELÉTRICA,CGTEE,ESTADUAL,SOCIEDADE ANÔNIMA,2016507000169,,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
10100,CIA. CENTRO-OESTE DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,CCODEE,ESTADUAL,SOCIEDADE ANÔNIMA,2016440000162,,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
10200,CIA. NORTE-NORDESTE DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA,CNNDEE,ESTADUAL,SOCIEDADE ANÔNIMA,2016439000138,,PRIVADA,6404/76,4-EXTINTO,149,PORTO ALEGRE,4314902
10300,SUPERINTENDÊNCIA DE PORTOS E HIDROVIAS,SPH,ESTADUAL,AUTARQUIA,92808500000172,www.sph.rs.gov.br,PUBLICA,4320/64,4-EXTINTO,149,PORTO ALEGRE,4314902
40100,PM DE AGUDO,PM,MUNICIPAL,EXECUTIVO,87531976000179,www.agudo.rs.gov.br,PUBLICA,4320/64,1-ATIVO,1,AGUDO,4300109
40101,CM DE AGUDO,CM AGUDO,MUNICIPAL,LEGISLATIVO,89250658000165,www.agudo.rs.leg.br,PUBLICA,4320/64,1-ATIVO,1,AGUDO,4300109
40200,PM DE AJURICABA,PM,MUNICIPAL,EXECUTIVO,87613253000119,www.ajuricaba.rs.gov.br,PUBLICA,4320/64,1-ATIVO,2,AJURICABA,4300208
40201,CM DE AJURICABA,CM AJURICA,MUNICIPAL,LEGISLATIVO,3803987000170,www.cmajuricaba.rs.gov.br,PUBLICA,4320/64,1-ATIVO,2,AJURICABA,4300208
40300,PM DE ALECRIM,PM,MUNICIPAL,EXECUTIVO,87612784000197,www.alecrim.rs.gov.br,PUBLICA,4320/64,1-ATIVO,3,ALECRIM,4300307
40301,CM DE ALECRIM,CM ALECRIM,MUNICIPAL,LEGISLATIVO,12857727000179,www.camaraalecrim.rs.gov.br,PUBLICA,4320/64,1-ATIVO,3,ALECRIM,4300307
40400,PM DE ALEGRETE,PM,MUNICIPAL,EXECUTIVO,87896874000157,www.alegrete.rs.gov.br,PUBLICA,4320/64,1-ATIVO,4,ALEGRETE,4300406
40401,CM DE ALEGRETE,CM ALEGRET,MUNICIPAL,LEGISLATIVO,91551119000108,www.alegrete.rs.leg.br,PUBLICA,4320/64,1-ATIVO,4,ALEGRETE,4300406
40500,PM DE ALPESTRE,PM,MUNICIPAL,EXECUTIVO,87612933000118,www.alpestre.rs.gov.br,PUBLICA,4320/64,1-ATIVO,5,ALPESTRE,4300505
40501,CM DE ALPESTRE,CM ALPESTR,MUNICIPAL,LEGISLATIVO,18002719000127,www.camaraalpestre.com.br,PUBLICA,4320/64,1-ATIVO,5,ALPESTRE,4300505
40600,PM DE ALVORADA,PMA,MUNICIPAL,EXECUTIVO,88000906000157,www.alvorada.rs.gov.br,PUBLICA,4320/64,1-ATIVO,6,ALVORADA,4300604
40601,CM DE ALVORADA,CM ALVORAD,MUNICIPAL,LEGISLATIVO,9331032000144,www.camara-alvorada.rs.gov.br,PUBLICA,4320/64,1-ATIVO,6,ALVORADA,4300604
40602,FUND. PRÓ-SAÚDE E SANEAMENTO-ALVORADA,,MUNICIPAL,FUNDAÇÃO,0,,PUBLICA,4320/64,4-EXTINTO,6,ALVORADA,4300604
40700,PM DE ANTA GORDA,PM ANTA GO,MUNICIPAL,EXECUTIVO,87261509000176,www.antagorda.rs.gov.br,PUBLICA,4320/64,1-ATIVO,7,ANTA GORDA,4300703
40701,CM DE ANTA GORDA,CM ANTA GO,MUNICIPAL,LEGISLATIVO,21368132000140,www.camaraantagorda.com.br,PUBLICA,4320/64,1-ATIVO,7,ANTA GORDA,4300703
40800,PM DE ANTÔNIO PRADO,PM A. PRAD,MUNICIPAL,EXECUTIVO,87842233000110,www.antonioprado.com.br,PUBLICA,4320/64,1-ATIVO,8,ANTÔNIO PRADO,4300802
40801,CM DE ANTÔNIO PRADO,CM A PRADO,MUNICIPAL,LEGISLATIVO,9012126000150,www.camaraantonioprado.rs.gov.br,PUBLICA,4320/64,1-ATIVO,8,ANTÔNIO PRADO,4300802
40802,FUND. HISTÓRIA VIVA DE UM POVO-A.PRADO,FHVP,MUNICIPAL,FUNDAÇÃO,,,PUBLICA,,4-EXTINTO,8,ANTÔNIO PRADO,4300802
40803,ANTÔNIO PRADO HOTÉIS E TURISMO S/A.,PM-A.PRADO,MUNICIPAL,SOCIEDADE ANÔNIMA,87277828000170,,PRIVADA,6404/76,4-EXTINTO,8,ANTÔNIO PRADO,4300802
40900,PM DE ARATIBA,PM ARATIBA,MUNICIPAL,EXECUTIVO,87613469000184,www.pmaratiba.com.br,PUBLICA,4320/64,1-ATIVO,9,ARATIBA,4300901
40901,CM DE ARATIBA,CM ARATIBA,MUNICIPAL,LEGISLATIVO,29473461000163,www.camaraaratiba.com.br,PUBLICA,4320/64,1-ATIVO,9,ARATIBA,4300901
41000,PM DE ARROIO DO MEIO,PM A DO ME,MUNICIPAL,EXECUTIVO,87297271000139,www.arroiodomeiors.com.br,PUBLICA,4320/64,1-ATIVO,10,ARROIO DO MEIO,4301008
41001,CM DE ARROIO DO MEIO,CM A DO ME,MUNICIPAL,LEGISLATIVO,29662055000149,www.arroiodomeiors.com.br,PUBLICA,4320/64,1-ATIVO,10,ARROIO DO MEIO,4301008
41100,PM DE ARROIO DOS RATOS,PM A. RATO,MUNICIPAL,EXECUTIVO,88363072000144,www.arroiodosratos.rs.gov.br,PUBLICA,4320/64,1-ATIVO,11,ARROIO DOS RATOS,4301107
41101,CM DE ARROIO DOS RATOS,CM ARROIO,MUNICIPAL,LEGISLATIVO,2401435000173,www.arroiodosratos.rs.leg.br,PUBLICA,4320/64,1-ATIVO,11,ARROIO DOS RATOS,4301107
41200,PM DE ARROIO DO TIGRE,PM A. DO T,MUNICIPAL,EXECUTIVO,87590998000100,www.arroiodotigre.rs.gov.br,PUBLICA,4320/64,1-ATIVO,12,ARROIO DO TIGRE,4301206
41201,CM DE ARROIO DO TIGRE,CM ARROIO,MUNICIPAL,LEGISLATIVO,89710982000119,www.camaraarroiodotigre.com.br,PUBLICA,4320/64,1-ATIVO,12,ARROIO DO TIGRE,4301206
41300,PM DE ARROIO GRANDE,PM A. GRAN,MUNICIPAL,EXECUTIVO,88860366000181,www.arroiogrande.rs.gov.br/site/content/home/,PUBLICA,4320/64,1-ATIVO,13,ARROIO GRANDE,4301305
41301,CM DE ARROIO GRANDE,CM A GRAND,MUNICIPAL,LEGISLATIVO,19013550000173,www.camaraarroiogrande.rs.gov.br,PUBLICA,4320/64,1-ATIVO,13,ARROIO GRANDE,4301305
41400,PM DE ARVOREZINHA,PM ARVOREZ,MUNICIPAL,EXECUTIVO,87612750000100,www.arvorezinhars.com.br,PUBLICA,4320/64,1-ATIVO,14,ARVOREZINHA,4301404
41401,CM DE ARVOREZINHA,CM ARVOREZ,MUNICIPAL,LEGISLATIVO,7418847000130,www.camaraarvorezinha.com.br,PUBLICA,4320/64,1-ATIVO,14,ARVOREZINHA,4301404
41500,PM DE AUGUSTO PESTANA,PM,MUNICIPAL,EXECUTIVO,87613246000117,www.augustopestana.rs.gov.br,PUBLICA,4320/64,1-ATIVO,15,AUGUSTO PESTANA,4301503
41501,CM DE AUGUSTO PESTANA,CM A PESTA,MUNICIPAL,LEGISLATIVO,12250589000165,www.camaraaugustopestana.rs.gov.br,PUBLICA,4320/64,1-ATIVO,15,AUGUSTO PESTANA,4301503
41600,PM DE BAGÉ,PM BAGE,MUNICIPAL,EXECUTIVO,88073291000199,www.bage.rs.gov.br,PUBLICA,4320/64,1-ATIVO,16,BAGÉ,4301602
41601,CM DE BAGÉ,CM BAGE,MUNICIPAL,LEGISLATIVO,9213402000149,www.camvbage.rs.gov.br,PUBLICA,4320/64,1-ATIVO,16,BAGÉ,4301602
